priority_rank,ebird_species_code,scientific_name,japanese_name,frequency_annual_mean,total_recordings
481,baisan,Calidris bairdii,ヒメウズラシギ,8.8375e-06,115
482,blared1,Phoenicurus ochruros,クロジョウビタキ,8.799999999999999e-06,3426
483,javspa,Padda oryzivora,ブンチョウ,7.764583333333333e-06,285
484,bkwcus1,Lalage melaschistos,アサクラサンショウクイ,7.495833333333334e-06,208
485,grybus1,Saxicola ferreus,ヤマザキヒタキ,6.308333333333333e-06,359
486,ferfly1,Muscicapa ferruginea,ミヤマヒタキ,6.120833333333333e-06,141
487,yerwar,Setophaga coronata,キヅタアメリカムシクイ,6.068749999999999e-06,2350
488,bimlar1,Melanocorypha bimaculata,クビワコウテンシ,6.0500000000000005e-06,111
489,borowl,Aegolius funereus,キンメフクロウ,5.839583333333333e-06,977
490,baleag,Haliaeetus leucocephalus,ハクトウワシ,4.414583333333333e-06,734
491,eurdot,Eudromias morinellus,コバシチドリ,4.241666666666667e-06,86
492,comred2,Phoenicurus phoenicurus,シロビタイジョウビタキ,3.3604166666666663e-06,3750
493,lewduc1,Dendrocygna javanica,リュウキュウガモ,2.920833333333333e-06,94
494,monlar1,Melanocorypha mongolica,コウテンシ,2.920833333333333e-06,51
495,fragul,Leucophaeus pipixcan,アメリカズグロカモメ,2.9145833333333337e-06,173
496,shbdow,Limnodromus griseus,アメリカオオハシシギ,2.802083333333333e-06,119
497,norbob,Colinus virginianus,コリンウズラ,2.6812500000000004e-06,1190
498,hacdro1,Dicrurus hottentottus,カンムリオウチュウ,2.4916666666666664e-06,181
499,grewar2,Phylloscopus plumbeitarsus,ヤナギムシクイ,2.345833333333333e-06,339
500,copgoo1,Nettapus coromandelianus,ナンキンオシ,2.345833333333333e-06,81
