recording_id,ebird_species_code,method,n_segments,total_duration_sec,mean_segment_sec,visualization_path
xc:580794,bkhgul,3,159,101.172,0.636,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_580794_comparison.png
xc:580794,bkhgul,6,118,84.074,0.712,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_580794_comparison.png
xc:580794,bkhgul,8,79,71.175,0.901,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_580794_comparison.png
xc:580794,bkhgul,12,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_580794_comparison.png
xc:580794,bkhgul,14,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_580794_comparison.png
xc:752720,bkhgul,1,137,24.715,0.18,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_752720_comparison.png
xc:752720,bkhgul,2,160,17.208,0.108,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_752720_comparison.png
xc:752720,bkhgul,3,41,44.08,1.075,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_752720_comparison.png
xc:752720,bkhgul,6,144,27.344,0.19,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_752720_comparison.png
xc:752720,bkhgul,8,138,23.461,0.17,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_752720_comparison.png
xc:752720,bkhgul,12,3,0.992,0.331,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_752720_comparison.png
xc:752720,bkhgul,14,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_752720_comparison.png
xc:1065402,bkhgul,1,21,6.298,0.3,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_1065402_comparison.png
xc:1065402,bkhgul,2,23,4.139,0.18,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_1065402_comparison.png
xc:1065402,bkhgul,3,13,8.673,0.667,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_1065402_comparison.png
xc:1065402,bkhgul,6,20,6.264,0.313,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_1065402_comparison.png
xc:1065402,bkhgul,8,20,4.296,0.215,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_1065402_comparison.png
xc:1065402,bkhgul,12,3,0.528,0.176,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_1065402_comparison.png
xc:1065402,bkhgul,14,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_1065402_comparison.png
xc:1050112,bkhgul,1,4,0.331,0.083,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_1050112_comparison.png
xc:1050112,bkhgul,2,17,1.808,0.106,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_1050112_comparison.png
xc:1050112,bkhgul,3,11,7.454,0.678,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_1050112_comparison.png
xc:1050112,bkhgul,6,10,1.573,0.157,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_1050112_comparison.png
xc:1050112,bkhgul,8,18,4.911,0.273,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_1050112_comparison.png
xc:1050112,bkhgul,12,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_1050112_comparison.png
xc:1050112,bkhgul,14,3,1.01,0.337,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_1050112_comparison.png
xc:525320,bkhgul,1,8,8.603,1.075,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_525320_comparison.png
xc:525320,bkhgul,2,26,4.069,0.157,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_525320_comparison.png
xc:525320,bkhgul,3,25,9.294,0.372,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_525320_comparison.png
xc:525320,bkhgul,6,11,8.661,0.787,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_525320_comparison.png
xc:525320,bkhgul,8,11,8.499,0.773,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_525320_comparison.png
xc:525320,bkhgul,12,6,1.045,0.174,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_525320_comparison.png
xc:525320,bkhgul,14,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bkhgul/xc_525320_comparison.png
xc:627390,bktgul,1,45,11.685,0.26,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/bktgul/xc_627390_comparison.png
