species_code,recording_id,n_notes,n_bouts,mean_bout_dur,median_bout_dur,total_bout_dur,audio_dur
grcgre1,xc:636568,45,11,2.975,2.67,32.73,36.18
grcgre1,xc:462953,16,6,0.652,0.16,3.91,8.72
grcgre1,xc:897021,11,3,2.107,2.56,6.32,8.05
grcgre1,xc:355311,11,3,1.19,0.05,3.57,6.28
grcgre1,xc:147184,65,10,2.304,1.34,23.04,26.14
grcgre1,xc:577005,5,5,0.462,0.06,2.31,21.49
grcgre1,xc:1006363,19,1,7.62,7.62,7.62,7.66
grcgre1,xc:374172,12,2,4.215,4.215,8.43,9.19
grcgre1,xc:1001305,29,5,2.628,1.12,13.14,15.33
grcgre1,xc:138169,24,5,3.726,3.42,18.63,19.69
grcgre1,xc:655643,51,13,2.35,1.41,30.55,34.04
grcgre1,xc:579195,229,82,0.785,0.12,64.41,129.98
grcgre1,xc:592110,40,10,2.77,1.87,27.7,30.1
grcgre1,xc:386365,6,10,3.682,2.32,36.82,38.53
grcgre1,xc:363743,89,15,3.219,1.83,48.29,51.49
grcgre1,xc:662840,15,3,2.193,0.2,6.58,8.04
grcgre1,xc:642506,52,6,3.642,2.635,21.85,23.79
grcgre1,xc:1033544,23,14,0.226,0.085,3.17,19.19
grecor,xc:839104,3,2,2.125,2.125,4.25,7.7
grecor,xc:987714,2,4,7.09,7.76,28.36,28.49
grecor,xc:448710,1,2,6.725,6.725,13.45,13.49
grecor,xc:308865,202,43,2.64,1.3,113.52,128.46
grecor,xc:372106,192,31,3.764,3.24,116.69,123.88
grecor,xc:773824,13,4,1.432,0.325,5.73,10.38
grecor,xc:626272,16,11,3.325,2.43,36.58,38.09
grecor,xc:518940,6,3,5.663,5.76,16.99,17.3
grecor,xc:972495,1,2,5.005,5.005,10.01,10.05
grecor,xc:987722,25,4,1.98,1.745,7.92,9.34
grecor,xc:722335,34,8,3.499,2.99,27.99,29.53
grecor,xc:625356,135,20,3.782,3.73,75.65,85.56
grecor,xc:214292,147,56,3.154,1.77,176.62,188.21
grecor,xc:828977,37,12,1.098,0.395,13.17,23.62
grecor,xc:280958,1,8,7.587,8.0,60.7,61.47
grecor,xc:309573,2,5,6.08,8.0,30.4,30.52
grecor,xc:726669,7,2,4.115,4.115,8.23,9.13
grecor,xc:930052,8,10,4.609,4.45,46.09,46.54
grecor,xc:447821,17,5,1.664,2.01,8.32,15.18
grecor,xc:90633,42,11,3.202,3.03,35.22,40.39
greegr,xc:561777,9,4,0.888,0.11,3.55,7.17
greegr,xc:161280,155,26,4.077,4.49,105.99,112.85
greegr,xc:454182,17,3,5.493,5.76,16.48,16.96
greegr,xc:1005363,13,3,2.77,0.58,8.31,9.51
greegr,xc:285219,12,3,3.11,3.38,9.33,11.51
greegr,xc:627082,10,7,1.549,0.45,10.84,13.14
greegr,xc:297388,20,4,1.75,1.665,7.0,10.04
greegr,xc:705410,22,5,2.546,2.68,12.73,15.03
greegr,xc:678001,5,4,0.11,0.075,0.44,8.89
greegr,xc:196155,68,31,4.027,4.58,124.84,128.33
greegr,xc:794544,16,1,6.26,6.26,6.26,7.01
greegr,xc:116543,6,1,1.82,1.82,1.82,1.86
greegr,xc:44035,10,8,0.566,0.5,4.53,10.27
greegr,xc:44629,6,1,6.01,6.01,6.01,6.38
greegr,xc:357715,8,1,7.55,7.55,7.55,7.59
greegr,xc:1049634,5,2,1.43,1.43,2.86,3.86
greegr,xc:1069511,8,6,0.27,0.17,1.62,5.97
greegr,xc:1074501,6,4,2.302,0.645,9.21,9.84
greegr,xc:758130,5,3,2.307,1.44,6.92,9.49
greegr,xc:1034339,15,6,0.868,0.16,5.21,11.73
grywag,xc:386848,16,9,0.552,0.12,4.97,13.18
grywag,xc:432286,45,14,3.195,1.975,44.73,52.41
