recording_id,ebird_species_code,method,n_segments,total_duration_sec,mean_segment_sec,visualization_path
xc:1026906,blakit1,4,34,7.685,0.226,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_1026906_comparison.png
xc:1026906,blakit1,5,8,49.755,6.219,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_1026906_comparison.png
xc:896543,blakit1,1,4,0.325,0.081,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_896543_comparison.png
xc:896543,blakit1,2,7,1.17,0.167,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_896543_comparison.png
xc:896543,blakit1,3,4,1.921,0.48,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_896543_comparison.png
xc:896543,blakit1,4,2,0.134,0.067,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_896543_comparison.png
xc:896543,blakit1,5,1,2.572,2.572,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/blakit1/xc_896543_comparison.png
xc:155867,brebul1,1,76,23.024,0.303,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_155867_comparison.png
xc:155867,brebul1,2,107,16.939,0.158,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_155867_comparison.png
xc:155867,brebul1,3,74,35.155,0.475,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_155867_comparison.png
xc:155867,brebul1,4,82,15.349,0.187,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_155867_comparison.png
xc:155867,brebul1,5,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_155867_comparison.png
xc:551619,brebul1,1,22,10.363,0.471,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_551619_comparison.png
xc:551619,brebul1,2,46,7.629,0.166,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_551619_comparison.png
xc:551619,brebul1,3,17,17.451,1.027,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_551619_comparison.png
xc:551619,brebul1,4,25,5.664,0.227,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_551619_comparison.png
xc:551619,brebul1,5,1,19.635,19.635,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_551619_comparison.png
xc:466085,brebul1,1,10,2.741,0.274,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_466085_comparison.png
xc:466085,brebul1,2,12,2.008,0.167,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_466085_comparison.png
xc:466085,brebul1,3,5,4.504,0.901,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/brebul1/xc_466085_comparison.png
