ebird_species_code,scientific_name,japanese_name,ebird_common_name,frequency_annual_mean,frequency_max,n_periods_detected,residence_status
lotsti,Calidris subminuta,ヒバリシギ,Long-toed Stint,0.005858233333333334,0.0299715,44.0,resident
whgpig1,Treron formosae,ズアカアオバト,Whistling Green-Pigeon,0.005729431249999999,0.0212814,48.0,resident
yetbun1,Emberiza elegans,ミヤマホオジロ,Yellow-throated Bunting,0.005561391666666666,0.0153666,38.0,winter
comred1,Tringa totanus,アカアシシギ,Common Redshank,0.0054450083333333335,0.0249169,48.0,resident
comshe,Tadorna tadorna,ツクシガモ,Common Shelduck,0.005270104166666667,0.0287403,33.0,winter
eurcur,Numenius arquata,ダイシャクシギ,Eurasian Curlew,0.005240768749999999,0.0122549,48.0,resident
eurspo1,Platalea leucorodia,ヘラサギ,Eurasian Spoonbill,0.00522870625,0.0192049,48.0,winter
nutman,Lonchura punctulata,シマキンパラ,Scaly-breasted Munia,0.005173112499999999,0.0152236,48.0,resident
norboo1,Ninox japonica,アオバズク,Northern Boobook,0.00513319375,0.0168741,48.0,resident
sibrub,Calliope calliope,ノゴマ,Siberian Rubythroat,0.005129575,0.0272996,47.0,summer
brnboo,Sula leucogaster,カツオドリ,Brown Booby,0.0051107354166666655,0.0245738,48.0,resident
bkfalb,Phoebastria nigripes,クロアシアホウドリ,Black-footed Albatross,0.0050854916666666665,0.0293087,48.0,resident
rengre,Podiceps grisegena,アカエリカイツブリ,Red-necked Grebe,0.0049350458333333345,0.0177885,47.0,winter
eaywag,Motacilla tschutschensis,ツメナガセキレイ,Eastern Yellow Wagtail,0.004886852083333333,0.0284765,47.0,resident
saugul2,Saundersilarus saundersi,ズグロカモメ,Saunders's Gull,0.004836477083333334,0.0154445,44.0,winter
whbwat1,Amaurornis phoenicurus,シロハラクイナ,White-breasted Waterhen,0.00465036875,0.0126538,48.0,resident
latsni1,Gallinago hardwickii,オオジシギ,Latham's Snipe,0.00463344375,0.0313918,31.0,summer
hoocra1,Grus monacha,ナベヅル,Hooded Crane,0.004569231250000001,0.0235026,29.0,winter
japrob2,Larvivora akahige,コマドリ,Japanese Robin,0.004530539583333332,0.0239731,39.0,summer
whncra1,Antigone vipio,マナヅル,White-naped Crane,0.004503485416666667,0.0238063,30.0,winter
ryurob3,Larvivora namiyei,ホントウアカヒゲ,Okinawa Robin,0.004490050000000001,0.0140003,48.0,resident
sibrob,Larvivora cyane,コルリ,Siberian Blue Robin,0.0044116520833333344,0.034067,30.0,summer
grekno,Calidris tenuirostris,オバシギ,Great Knot,0.0043450812500000005,0.0264208,34.0,summer
arcwar3,Phylloscopus xanthodryas,メボソムシクイ,Japanese Leaf Warbler,0.004332095833333333,0.0134491,28.0,summer
faecur,Numenius madagascariensis,ホウロクシギ,Far Eastern Curlew,0.004273014583333334,0.0121025,48.0,resident
japacc1,Prunella rubida,カヤクグリ,Japanese Accentor,0.0042527458333333325,0.0099517,48.0,resident
okirai1,Hypotaenidia okinawae,ヤンバルクイナ,Okinawa Rail,0.004207141666666667,0.0131253,48.0,resident
norhar1,Circus cyaneus,ハイイロチュウヒ,Hen Harrier,0.004128977083333334,0.0151759,31.0,winter
marsan,Tringa stagnatilis,コアオアシシギ,Marsh Sandpiper,0.00405263125,0.0182724,44.0,resident
banswa,Riparia riparia,ショウドウツバメ,Bank Swallow,0.003927687500000001,0.0134955,41.0,summer
lotduc,Clangula hyemalis,コオリガモ,Long-tailed Duck,0.003900750000000001,0.0224847,29.0,winter
spegui1,Cepphus carbo,ケイマフリ,Spectacled Guillemot,0.0038523791666666665,0.0162447,47.0,resident
sakwar1,Locustella amnicola,エゾセンニュウ,Sakhalin Grasshopper Warbler,0.003842170833333333,0.033472,23.0,summer
oristo1,Ciconia boyciana,コウノトリ,Oriental Stork,0.003841141666666666,0.0080314,48.0,resident
oristo1,Ciconia boyciana,コウノトリ,Oriental Stork,0.003841141666666666,0.0080314,48.0,resident
eyethr,Turdus obscurus,マミチャジナイ,Eyebrowed Thrush,0.0038327520833333346,0.0209733,38.0,passage
ryusco1,Otus elegans,リュウキュウコノハズク,Ryukyu Scops-Owl,0.0038120208333333326,0.0121608,48.0,resident
rhiauk,Cerorhinca monocerata,ウトウ,Rhinoceros Auklet,0.003805445833333334,0.0184316,47.0,summer
eurwry,Jynx torquilla,アリスイ,Eurasian Wryneck,0.0037669541666666665,0.0114763,48.0,resident
taibeg1,Anser fabalis,ヒシクイ,Taiga Bean-Goose,0.003674197916666667,0.0123695,40.0,winter
uraowl1,Strix uralensis,フクロウ,Ural Owl,0.003650245833333335,0.009677,48.0,resident
orihob2,Pernis ptilorhynchus,ハチクマ,Oriental Honey-buzzard,0.0035623437500000004,0.0405229,30.0,summer
temsti,Calidris temminckii,オジロトウネン,Temminck's Stint,0.003513622916666667,0.0095147,42.0,resident
whwsco1,Melanitta stejnegeri,ビロードキンクロ,Stejneger's Scoter,0.0034142187499999997,0.0156539,46.0,winter
shtshe,Ardenna tenuirostris,ハシボソミズナギドリ,Short-tailed Shearwater,0.0033976291666666662,0.019289,44.0,summer
crekin1,Megaceryle lugubris,ヤマセミ,Crested Kingfisher,0.0033813104166666662,0.0093923,48.0,resident
gargan,Spatula querquedula,シマアジ,Garganey,0.0032881354166666658,0.0109477,45.0,resident
whiter2,Chlidonias hybrida,クロハラアジサシ,Whiskered Tern,0.0032714895833333333,0.0158994,46.0,summer
grsplo,Charadrius leschenaultii,オオメダイチドリ,Greater Sand-Plover,0.00323905625,0.0169163,48.0,summer
eurnut3,Nucifraga caryocatactes,ホシガラス,Northern Nutcracker,0.003158002083333333,0.0118652,45.0,summer
okiwoo1,Dendrocopos noguchii,ノグチゲラ,Okinawa Woodpecker,0.0031529187500000007,0.0113752,48.0,resident
wetshe,Ardenna pacifica,オナガミズナギドリ,Wedge-tailed Shearwater,0.003139870833333333,0.0234987,37.0,summer
japwax1,Bombycilla japonica,ヒレンジャク,Japanese Waxwing,0.0031095375,0.0131142,33.0,winter
bklkit,Rissa tridactyla,ミツユビカモメ,Black-legged Kittiwake,0.003056833333333333,0.009677,48.0,resident
bulpet,Bulweria bulwerii,アナドリ,Bulwer's Petrel,0.0030020375,0.0231059,31.0,summer
