ebird_species_code,japanese_name,scientific_name,ebird_common_name,residence_status,priority_tier,frequency_annual_mean,frequency_max,n_periods_detected,recordings_total,recordings_japan,recordings_downloadable,ml_available,ml_japan_available,recordings_with_ml,priority_score
barpet,クロコシジロウミツバメ,Hydrobates castro,Band-rumped Storm-Petrel,passage,P1,0.0001990229166666,0.0015,12.0,42.0,0.0,23.0,19.0,0.0,42.0,3.645487856046765e-05
kerpet,カワリシロハラミズナギドリ,Pterodroma neglecta,Kermadec Petrel,passage,P1,0.0001123895833333,0.002611,13.0,10.0,0.0,4.0,6.0,0.0,10.0,3.135028143549383e-05
uplbuz1,オオノスリ,Buteo hemilasius,Upland Buzzard,passage,P1,0.0001187020833333,0.0015,15.0,13.0,0.0,4.0,9.0,0.0,13.0,3.0382750790801584e-05
horpuf,ツノメドリ,Fratercula corniculata,Horned Puffin,passage,P1,7.494375e-05,0.0011065,10.0,4.0,0.0,1.0,3.0,0.0,4.0,2.8992200072183677e-05
blasto1,ナベコウ,Ciconia nigra,Black Stork,passage,P1,0.0001521187499999,0.0015,14.0,40.0,0.0,36.0,4.0,0.0,40.0,2.82102736306481e-05
relkit,アカアシミツユビカモメ,Rissa brevirostris,Red-legged Kittiwake,passage,P1,0.0001280999999999,0.0015,11.0,28.0,0.0,6.0,22.0,0.0,28.0,2.6106145532273465e-05
chgshr1,オオカラモズ,Lanius sphenocercus,Chinese Gray Shrike,passage,P1,0.0001292041666666,0.0015,15.0,39.0,12.0,11.0,28.0,12.0,39.0,2.41162692504392e-05
steeid,コケワタガモ,Polysticta stelleri,Steller's Eider,passage,P1,8.868124999999999e-05,0.0015,10.0,14.0,0.0,6.0,8.0,0.0,14.0,2.2170312499999998e-05
schbit1,オオヨシゴイ,Ixobrychus eurhythmus,Schrenck's Bittern,passage,P1,9.67e-05,0.0015,12.0,23.0,0.0,17.0,6.0,0.0,23.0,2.0823211582848556e-05
whwsco2,アメリカビロードキンクロ,Melanitta deglandi,White-winged Scoter,passage,P1,7.723333333333333e-05,0.0015,10.0,12.0,0.0,1.0,11.0,0.0,12.0,2.0285299089372582e-05
rosgul,ヒメクビワカモメ,Rhodostethia rosea,Ross's Gull,passage,P1,0.00010461875,0.0015,9.0,41.0,0.0,26.0,15.0,0.0,41.0,1.9280067362976205e-05
bubsan,コモンシギ,Calidris subruficollis,Buff-breasted Sandpiper,passage,P1,8.793125e-05,0.0012519,7.0,32.0,0.0,13.0,19.0,0.0,32.0,1.7283910024272383e-05
bulshe,ミナミオナガミズナギドリ,Ardenna bulleri,Buller's Shearwater,passage,P1,5.915e-05,0.0015,6.0,11.0,0.0,4.0,7.0,0.0,11.0,1.5984586834375962e-05
blhibi1,クロトキ,Threskiornis melanocephalus,Black-headed Ibis,passage,P1,7.385208333333334e-05,0.0015,5.0,26.0,0.0,6.0,20.0,0.0,26.0,1.5362311402155384e-05
dausta1,シベリアムクドリ,Agropsar sturninus,Daurian Starling,passage,P1,6.230416666666667e-05,0.0012393,7.0,28.0,3.0,22.0,6.0,1.0,28.0,1.2697280579768079e-05
gyrfal,シロハヤブサ,Falco rusticolus,Gyrfalcon,passage,P1,5.149166666666667e-05,0.0015,7.0,42.0,0.0,22.0,20.0,0.0,42.0,9.43169001162785e-06
whhmun1,ヘキチョウ,Lonchura maja,White-headed Munia,passage,P1,4.963125e-05,0.0015,5.0,40.0,0.0,19.0,21.0,0.0,40.0,9.204066843384027e-06
oriplo1,オオチドリ,Charadrius veredus,Oriental Plover,passage,P1,3.8175e-05,0.0010293,5.0,24.0,0.0,19.0,5.0,0.0,24.0,8.121580594399639e-06
moulau1,ヒゲガビチョウ,Ianthocincla cineracea,Moustached Laughingthrush,passage,P1,4.3941666666666666e-05,0.0015,5.0,41.0,2.0,10.0,31.0,1.0,41.0,8.097958476609398e-06
combuz6,ノスリ,Buteo japonicus,Eastern Buzzard,resident,P2,0.0431228458333333,0.1027397,48.0,57.0,20.0,19.0,38.0,15.0,57.0,0.007330522262099743
slbgul,オオセグロカモメ,Larus schistisagus,Slaty-backed Gull,resident,P2,0.0410551291666666,0.086808,48.0,59.0,42.0,32.0,27.0,19.0,59.0,0.00692243254588937
gresca,スズガモ,Aythya marila,Greater Scaup,resident,P2,0.0378584499999999,0.0730446,48.0,81.0,1.0,29.0,52.0,1.0,81.0,0.005938543660427387
integr1,チュウサギ,Ardea intermedia,Medium Egret,resident,P2,0.0318446583333333,0.0912374,48.0,50.0,0.0,13.0,37.0,0.0,50.0,0.005586351212870613
lobplo1,イカルチドリ,Charadrius placidus,Long-billed Plover,resident,P2,0.01724380625,0.0374698,48.0,85.0,49.0,21.0,64.0,47.0,85.0,0.0026763863847495185
gyfbuz1,サシバ,Butastur indicus,Gray-faced Buzzard,resident,P2,0.0144287416666666,0.0400327,48.0,80.0,22.0,23.0,57.0,18.0,80.0,0.0022695436319177032
japspa1,ツミ,Accipiter gularis,Japanese Sparrowhawk,resident,P2,0.0086607208333333,0.025817,48.0,54.0,31.0,26.0,28.0,20.0,54.0,0.0014913365808654107
gysfly1,エゾビタキ,Muscicapa griseisticta,Gray-streaked Flycatcher,passage,P2,0.0068505270833333,0.0769608,22.0,52.0,4.0,14.0,38.0,4.0,52.0,0.0011903841874854968
grybun,クロジ,Emberiza variabilis,Gray Bunting,resident,P2,0.0068895520833333,0.0157962,48.0,62.0,51.0,18.0,44.0,43.0,62.0,0.00114825868055555
jawpig1,カラスバト,Columba janthina,Black Wood-Pigeon,resident,P2,0.0065014145833333,0.0281789,48.0,64.0,63.0,25.0,39.0,38.0,64.0,0.0010756106327532715
lotsti,ヒバリシギ,Calidris subminuta,Long-toed Stint,resident,P2,0.0058582333333333,0.0299715,44.0,63.0,8.0,30.0,33.0,2.0,63.0,0.000972745855983742
whgpig1,ズアカアオバト,Treron formosae,Whistling Green-Pigeon,resident,P2,0.0057294312499999,0.0212814,48.0,89.0,31.0,12.0,77.0,27.0,89.0,0.0008803952132430794
brnboo,カツオドリ,Sula leucogaster,Brown Booby,resident,P2,0.0051107354166666,0.0245738,48.0,68.0,3.0,31.0,37.0,3.0,68.0,0.0008338227167088714
bkfalb,クロアシアホウドリ,Phoebastria nigripes,Black-footed Albatross,resident,P2,0.0050854916666666,0.0293087,48.0,96.0,6.0,27.0,69.0,6.0,96.0,0.0007688155318242597
hoocra1,ナベヅル,Grus monacha,Hooded Crane,winter,P2,0.00456923125,0.0235026,29.0,66.0,56.0,35.0,31.0,30.0,66.0,0.0007505969841881613
whncra1,マナヅル,Antigone vipio,White-naped Crane,winter,P2,0.0045034854166666,0.0238063,30.0,67.0,36.0,37.0,30.0,22.0,67.0,0.0007372460319233758
